_id,latest_count_id,latest_count_type,latest_count_date_start,latest_count_date_end,latest_count_duration,location_name,longitude,latitude,centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_start,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_start,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
93,3014913,ATR_SPEED_VOLUME,2025-11-25,2025-11-27,72,Broadmead Ave: Harewood Ave - Neilson Ave,-79.232025,43.71746,111930,242.7,242.7,,08:00:00,47,14:45:00,34,27.9,36.1,39.1,
94,3014906,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Brockley Dr: Liam Foudy Crt - Akil Thomas Gdns,-79.26427477022663,43.75537393579634,30122723,1264.3,1264.3,,08:15:00,203,15:00:00,170,26.4,36.2,39.9,
95,3014881,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Glengrove Ave W: Avenue Rd - Coldstream Ave,-79.41412,43.716815,1138013,3473,3473,,08:00:00,352,17:00:00,401,32.4,39.3,43.9,
96,3014880,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Glengrove Ave W: Coldstream Ave - Mona Dr,-79.416315,43.71636,1138029,2663.3,2663.3,,08:00:00,289,17:00:00,315,31.8,38.5,42.5,
97,3014872,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Mendota Rd: Gala Lane - Wesley St,-79.497245,43.624140000000004,30011716,432,432,,07:30:00,53,16:45:00,42,33.7,42.2,47.6,
98,3014867,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Glendonwynne Rd: Clendenan Ave - Quebec Ave,-79.47020258766064,43.65882815167098,7993066,1927,1927,,08:15:00,245,17:00:00,229,29.4,36.4,39.6,
99,3014311,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Aldercrest Rd: Rimilton Ave - Valermo Dr,-79.54108500000001,43.606215000000006,914268,378.7,378.7,,07:45:00,36,15:45:00,34,34.9,43.8,49,
100,3014866,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Glendonwynne Rd: Glenlake Ave - Evelyn Ave,-79.47376358229015,43.65694526792191,1144630,1276.7,1276.7,,08:15:00,151,15:00:00,130,28.9,36.8,39.8,
101,3014307,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Horner Ave: Kipling Ave - Tupper Ave,-79.521285,43.60709,914182,11719.7,11719.7,,08:00:00,1006,15:30:00,956,48.8,58.3,63.7,
102,3014308,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Horner Ave: Thirtieth St - Carson St,-79.534335,43.604150000000004,914323,13597,13597,,08:00:00,1148,16:15:00,1149,45,53.7,59.1,
103,3014309,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Thirtieth St: Alhena Ave - Horner Ave,-79.53330500000001,43.60331000000001,914389,9918.7,9918.7,,08:15:00,824,16:30:00,859,42.3,49.1,54,
104,3014310,ATR_SPEED_VOLUME,2025-11-18,2025-11-20,72,Alderbrae Ave: Rimilton Ave - Valermo Dr,-79.54219,43.60595000000001,914282,388.7,388.7,,08:00:00,46,14:15:00,40,33.6,44.2,49.8,
